Date,bitcoin,altcoin,silver,mwig40,tsmc,cameco,samsung,free_money,Total,Deposit
2025-03-01 21:56,0,0,0,0,0,0,0,0,4000,4000
2025-03-12 21:56,0,0,0,0,0,0,0,0,3607,4000
2025-03-12 21:59,0,0,0,0,0,0,0,0,3611,4000
2025-03-12 22:02,0,0,0,0,0,0,0,0,3620,4000
2025-03-12 22:10,0,0,0,0,0,0,0,0,3621,4000
2025-03-13 15:19,0,0,0,0,0,0,0,0,3640,4000
2025-03-13 15:27,0,0,0,0,0,0,0,0,3629,4000
2025-03-13 16:51,0,0,0,0,0,0,0,0,3588,4000
2025-03-14 15:29,0,0,0,0,0,0,0,0,3661,4000
2025-03-14 17:43,0,0,0,0,0,0,0,0,3723,4000
2025-03-14 17:44,0,0,0,0,0,0,0,0,3725,4000
2025-03-14 17:47,0,0,0,0,0,0,0,0,3724,4000
2025-03-14 20:18,0,0,0,0,0,0,0,0,3744,4000
2025-03-15 18:39,0,0,0,0,0,0,0,0,3724,4000
2025-03-16 19:34,0,0,0,0,0,0,0,0,3710,4000
2025-03-17 15:31,0,0,0,0,0,0,0,0,3726,4000  
2025-03-18 16:18,0,0,0,0,0,0,0,0,3674,4000
2025-03-18 19:29,0,0,0,0,0,0,0,0,3676,4000
2025-03-19 16:10,0,0,0,0,0,0,0,0,3814,4000
2025-03-19 21:49,0,0,0,0,0,0,0,0,4724,4850
2025-03-20 15:05,0,0,0,0,0,0,0,0,4719,4850
2025-03-21 15:14,0,0,0,0,0,0,0,0,4612,4850
2025-03-22 18:45,0,0,0,0,0,0,0,0,4657,4850
2025-03-24 17:29,0,0,0,0,0,0,0,0,4808,4850
2025-03-27 16:33,0,0,0,0,0,0,0,0,4743,4850
2025-03-30 21:33,0,0,0,0,0,0,0,0,4325,4850
2025-03-30 22:12,0,0,0,0,0,0,0,0,4316,4850
2025-03-31 19:31,0,0,0,0,0,0,0,0,4337,4850
2025-04-01 19:31,0,0,0,0,0,0,0,0,4337,4850
2025-04-02 20:59,0,0,0,0,0,0,0,0,5578,5850
2025-04-03 19:23,0,0,0,0,0,0,0,0,5395,5850
2025-04-03 19:29,0,0,0,0,0,0,0,0,5399,5850
2025-04-03 19:42,0,0,0,0,0,0,0,0,5412,5850
2025-04-03 19:43,0,0,0,0,0,0,0,0,5414,5850
2025-04-03 19:47,0,0,0,0,0,0,0,0,5161,5850
2025-04-04 16:27,0,0,0,0,0,0,0,0,5226,5850
2025-04-05 11:33,0,0,0,0,0,0,0,0,5296,5850
2025-04-05 11:35,0,0,0,0,0,0,0,0,5210,5850
2025-04-05 11:38,0,0,0,0,0,0,0,0,5211,5850
2025-04-05 11:41,0,0,0,0,0,0,0,0,5212,5850
2025-04-05 13:46,0,0,0,0,0,0,0,0,5205,5850
2025-04-05 13:47,0,0,0,0,0,0,0,0,5204,5850
2025-04-22 19:46,0,0,0,0,0,0,0,0,5333,5850
2025-04-22 19:48,0,0,0,0,0,0,0,0,6312,6850
2025-04-23 20:43,0,0,0,0,0,0,0,0,6508,6850
2025-04-25 16:29,0,0,0,0,0,0,0,0,6526,6850
2025-05-01 16:28,0,0,0,0,0,0,0,0,6526,6850
2025-05-01 16:29,0,0,0,0,0,0,0,0,7973,7850
2025-05-02 16:29,0,0,0,0,0,0,0,0,7146,7850
2025-05-03 16:29,0,0,0,0,0,0,0,0,7167,7850
2025-05-06 16:29,0,0,0,0,0,0,0,0,7169,7850
2025-05-10 16:29,0,0,0,0,0,0,0,0,7384,7850
2025-05-12 16:29,0,0,0,0,0,0,0,0,7641,7850
2025-05-13 16:08,0,0,0,0,0,0,0,0,7643,7850
2025-05-13 16:10,0,0,0,0,0,0,0,0,7629,7850
2025-05-15 18:09,0,0,0,0,0,0,0,0,8737,8850
2025-05-15 18:09,0,0,0,0,0,0,0,0,8739,8850
2025-05-15 18:14,0,0,0,0,0,0,0,0,9839,8850
2025-05-15 19:56,0,0,0,0,0,0,0,0,9876,8850
2025-05-15 19:57,0,0,0,0,0,0,0,0,9879,8850
2025-05-16 15:13,0,0,0,0,0,0,0,0,9698,8850
2025-05-19 19:21,0,0,0,0,0,0,0,0,9606,8850
2025-05-20 16:10,0,0,0,0,0,0,0,0,10009,8850
2025-05-20 16:13,0,0,0,0,0,0,0,0,10010,8850
2025-05-20 16:15,0,0,0,0,0,0,0,0,10009,8850
2025-05-21 15:59,0,0,0,0,0,0,0,0,10381,8850
2025-05-22 17:33,0,0,0,0,0,0,0,0,10329,8850
2025-05-23 15:59,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 9:27,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 9:35,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 9:36,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 9:40,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 10:04,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 15:37,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 15:54,0,0,0,0,0,0,0,0,10425,8850
2025-05-24 19:27,0,0,0,0,0,0,0,0,10425,8850
2025-05-26 16:59,0,0,0,0,0,0,0,0,10410,8850
2025-05-27 16:22,0,0,0,0,0,0,0,0,10263,8850
2025-05-28 17:12,0,0,0,0,0,0,0,0,10174,8850
2025-05-29 19:28,0,0,0,0,0,0,0,0,10159,8850
2025-05-30 16:28,0,0,0,0,0,0,0,0,9735,8850
2025-06-01 16:28,0,0,0,0,0,0,0,0,9735,8850
2025-06-02 17:11,0,0,0,0,0,0,0,0,10383,8850
2025-06-03 17:28,0,0,0,0,0,0,0,0,10650,8850
2025-06-04 20:38,0,0,0,0,0,0,0,0,10593,8850
2025-06-05 15:43,0,0,0,0,0,0,0,0,10903,8850
2025-06-05 15:44,0,0,0,0,0,0,0,0,10903,8850
2025-06-06 14:51,0,0,0,0,0,0,0,0,10712,8850
2025-06-06 19:16,0,0,0,0,0,0,0,0,12899,11000
2025-06-09 16:04,0,0,0,0,0,0,0,0,12991,11000
2025-06-10 16:16,0,0,0,0,0,0,0,0,13448,11000
2025-06-11 15:05,0,0,0,0,0,0,0,0,13563,11000
2025-06-12 20:01,0,0,0,0,0,0,0,0,13878,11000
2025-06-13 21:58,0,0,0,0,0,0,0,0,14359,11000
2025-06-15 20:03,0,0,0,0,0,0,0,0,14422,11000
2025-06-16 18:13,0,0,0,0,0,0,0,0,14206,11000
2025-06-17 20:33,0,0,0,0,0,0,0,0,14505,11000
2025-06-18 17:39,0,0,0,0,0,0,0,0,14260,11000
2025-06-20 15:18,0,0,0,0,0,0,0,0,13916,11000
2025-06-21 11:40,0,0,0,0,0,0,0,0,13947,11000
2025-06-21 23:00,0,0,0,0,0,0,0,0,13947,11000
2025-06-22 11:08,0,0,0,0,0,0,0,0,13947,11000
2025-06-22 11:09,0,0,0,0,0,0,0,0,13727,11000
2025-06-23 16:22,0,0,0,0,0,0,0,0,13812,11000
2025-06-24 14:58,0,0,0,0,0,0,0,0,12404,11000
